Reaction Date,Reaction Type,Parent Type,Parent ID
"Dec 16, 2014, 10:54:14 PM",Kudos,Activity,230057920
"Dec 23, 2014, 4:37:35 AM",Kudos,Activity,231998821
"Dec 23, 2014, 4:37:36 AM",Kudos,Activity,231994453
"Dec 23, 2014, 4:37:37 AM",Kudos,Activity,231997467
"Dec 23, 2014, 5:31:38 AM",Kudos,Activity,232020064
"Dec 30, 2014, 4:39:35 AM",Kudos,Activity,234316930
"Dec 30, 2014, 4:39:36 AM",Kudos,Activity,234317104
"Jan 1, 2015, 4:33:11 AM",Kudos,Activity,234668532
"Jan 1, 2015, 4:33:12 AM",Kudos,Activity,235093972
"Jan 5, 2015, 5:38:15 AM",Kudos,Activity,236342983
"Jan 5, 2015, 5:38:49 AM",Kudos,Activity,236352180
"Jan 5, 2015, 5:38:55 AM",Kudos,Activity,236886451
"Jan 5, 2015, 5:39:37 AM",Kudos,Activity,235899353
"Jan 5, 2015, 5:40:12 AM",Kudos,Activity,235867244
"Jan 5, 2015, 5:41:58 AM",Kudos,Activity,235419279
"Jan 6, 2015, 4:38:03 AM",Kudos,Activity,237300264
"Jan 6, 2015, 4:38:08 AM",Kudos,Activity,237317554
"Jan 8, 2015, 12:35:21 AM",Kudos,Activity,238178935
"Jan 8, 2015, 12:35:24 AM",Kudos,Activity,238161222
"Jan 8, 2015, 12:35:27 AM",Kudos,Activity,237800121
"Jan 8, 2015, 12:35:32 AM",Kudos,Activity,237682709
"Jan 8, 2015, 4:18:04 PM",Kudos,Activity,238199834
"Jan 10, 2015, 6:56:39 AM",Kudos,Activity,238958377
"Jan 11, 2015, 3:16:01 PM",Kudos,Activity,239364977
"Jan 13, 2015, 5:13:39 AM",Kudos,Activity,240366437
"Jan 15, 2015, 4:02:21 AM",Kudos,Activity,241194944
"Jan 15, 2015, 4:02:23 AM",Kudos,Activity,241190834
"Jan 16, 2015, 3:53:26 PM",Kudos,Activity,241594183
"Jan 17, 2015, 5:13:17 AM",Kudos,Activity,242007913
"Jan 17, 2015, 5:13:21 AM",Kudos,Activity,241990540
"Jan 17, 2015, 5:13:22 AM",Kudos,Activity,241976603
"Jan 17, 2015, 5:13:24 AM",Kudos,Activity,241974522
"Jan 17, 2015, 5:13:33 AM",Kudos,Activity,241959996
"Jan 18, 2015, 7:36:53 AM",Kudos,Activity,242458047
"Jan 20, 2015, 4:30:30 AM",Kudos,Activity,243465977
"Jan 20, 2015, 4:30:31 AM",Kudos,Activity,243461289
"Jan 20, 2015, 4:30:43 AM",Kudos,Activity,243469409
"Jan 24, 2015, 1:38:08 AM",Kudos,Activity,244751716
"Jan 24, 2015, 1:38:12 AM",Kudos,Activity,244289298
"Jan 24, 2015, 1:38:18 AM",Kudos,Activity,243493298
"Jan 24, 2015, 1:38:26 AM",Kudos,Activity,242955400
"Jan 24, 2015, 2:38:00 AM",Kudos,Activity,245134654
"Jan 24, 2015, 2:38:04 AM",Kudos,Activity,245139285
"Jan 25, 2015, 1:38:31 PM",Kudos,Activity,245596566
"Jan 25, 2015, 1:38:48 PM",Kudos,Activity,245619888
"Jan 26, 2015, 4:12:30 PM",Kudos,Activity,246199757
"Jan 31, 2015, 3:01:48 AM",Kudos,Activity,248334794
"Jan 31, 2015, 3:01:51 AM",Kudos,Activity,248334985
"Jan 31, 2015, 3:01:52 AM",Kudos,Activity,248325509
"Jan 31, 2015, 3:02:02 AM",Kudos,Activity,248002292
"Jan 31, 2015, 3:02:04 AM",Kudos,Activity,247921092
"Jan 31, 2015, 3:02:08 AM",Kudos,Activity,247538307
"Feb 2, 2015, 1:07:02 AM",Kudos,Activity,248766132
"Feb 2, 2015, 1:07:12 AM",Kudos,Activity,248797852
"Feb 17, 2015, 5:14:22 AM",Kudos,Activity,255987528
"Feb 17, 2015, 5:14:26 AM",Kudos,Activity,255997097
"Feb 17, 2015, 1:18:36 PM",Kudos,Activity,255997670
"Feb 17, 2015, 1:20:58 PM",Kudos,Activity,255997770
"Feb 19, 2015, 5:00:22 PM",Kudos,Activity,256440669
"Feb 19, 2015, 5:00:29 PM",Kudos,Activity,256453223
"Feb 21, 2015, 1:43:50 PM",Kudos,Activity,257662097
"Feb 21, 2015, 1:43:55 PM",Kudos,Activity,257677623
"Feb 22, 2015, 5:33:58 AM",Kudos,Activity,256459340
"Feb 22, 2015, 5:34:01 AM",Kudos,Activity,256865011
"Feb 22, 2015, 5:34:04 AM",Kudos,Activity,257186624
"Feb 22, 2015, 5:34:06 AM",Kudos,Activity,257571419
"Feb 22, 2015, 5:34:12 AM",Kudos,Activity,258141155
"Feb 22, 2015, 5:34:13 AM",Kudos,Activity,258141158
"Feb 24, 2015, 6:06:13 AM",Kudos,Activity,259097331
"Feb 25, 2015, 2:16:57 AM",Kudos,Activity,259457109
"Feb 26, 2015, 5:44:30 AM",Kudos,Activity,259926808
"Feb 28, 2015, 3:49:52 AM",Kudos,Activity,260755655
"Feb 28, 2015, 3:51:37 AM",Kudos,Activity,260765191
"Feb 28, 2015, 3:51:38 AM",Kudos,Activity,260752856
"Mar 1, 2015, 4:28:24 AM",Kudos,Activity,261251466
"Mar 1, 2015, 4:28:24 AM",Kudos,Activity,261260041
"Mar 1, 2015, 4:28:39 AM",Kudos,Activity,261266828
"Mar 1, 2015, 4:43:31 PM",Kudos,Activity,261169293
"Mar 2, 2015, 3:46:41 AM",Kudos,Activity,261818632
"Mar 3, 2015, 1:04:23 PM",Kudos,Activity,262233684
"Mar 3, 2015, 1:04:27 PM",Kudos,Activity,262224850
"Mar 5, 2015, 10:56:28 PM",Kudos,Activity,263147405
"Mar 5, 2015, 10:56:29 PM",Kudos,Activity,263144849
"Mar 6, 2015, 3:56:29 PM",Kudos,Activity,263166880
"Mar 6, 2015, 3:56:34 PM",Kudos,Activity,263114647
"Mar 7, 2015, 2:23:21 PM",Kudos,Activity,264015380
"Mar 7, 2015, 2:23:23 PM",Kudos,Activity,264004242
"Mar 8, 2015, 1:18:15 AM",Kudos,Activity,264564221
"Mar 9, 2015, 3:22:30 PM",Kudos,Activity,265194465
"Mar 9, 2015, 3:22:47 PM",Kudos,Activity,264581776
"Mar 10, 2015, 4:49:55 AM",Kudos,Activity,265759282
"Mar 10, 2015, 4:50:08 AM",Kudos,Activity,265749517
"Mar 11, 2015, 3:31:24 PM",Kudos,Activity,266308199
"Mar 11, 2015, 3:33:22 PM",Kudos,Activity,266293057
"Mar 12, 2015, 2:10:17 AM",Kudos,Activity,266776680
"Mar 12, 2015, 2:10:19 AM",Kudos,Activity,266737695
"Mar 13, 2015, 3:31:38 PM",Kudos,Activity,267336749
"Mar 15, 2015, 4:27:04 PM",Kudos,Activity,268249488
"Mar 15, 2015, 4:27:36 PM",Kudos,Activity,268096564
"Mar 15, 2015, 4:28:04 PM",Kudos,Activity,267734526
"Mar 15, 2015, 4:28:08 PM",Kudos,Activity,267678384
"Mar 15, 2015, 4:28:10 PM",Kudos,Activity,267623657
"Mar 16, 2015, 2:56:28 PM",Kudos,Activity,268909835
"Mar 16, 2015, 2:56:38 PM",Kudos,Activity,268787398
"Mar 16, 2015, 2:56:40 PM",Kudos,Activity,268723132
"Mar 17, 2015, 3:04:38 PM",Kudos,Activity,269420141
"Mar 17, 2015, 3:04:43 PM",Kudos,Activity,269397119
"Mar 18, 2015, 2:33:33 AM",Kudos,Activity,269954829
"Mar 19, 2015, 4:45:28 PM",Kudos,Activity,270438623
"Mar 19, 2015, 4:45:30 PM",Kudos,Activity,270428940
"Mar 22, 2015, 1:46:57 PM",Kudos,Activity,271986154
"Mar 22, 2015, 1:49:03 PM",Kudos,Activity,271343045
"Mar 23, 2015, 2:02:40 AM",Kudos,Activity,272681117
"Mar 23, 2015, 2:02:42 AM",Kudos,Activity,272480984
"Mar 25, 2015, 9:05:45 PM",Kudos,Activity,273140100
"Mar 26, 2015, 6:23:43 PM",Kudos,Activity,274131385
"Mar 26, 2015, 6:23:48 PM",Kudos,Activity,274196610
"Mar 26, 2015, 6:26:38 PM",Kudos,Activity,273684702
"Mar 26, 2015, 6:26:40 PM",Kudos,Activity,273610640
"Mar 26, 2015, 6:26:53 PM",Kudos,Activity,273157326
"Mar 27, 2015, 6:09:14 PM",Kudos,Activity,274651742
"Mar 27, 2015, 6:09:15 PM",Kudos,Activity,274638948
"Mar 27, 2015, 6:09:16 PM",Kudos,Activity,274657278
"Mar 27, 2015, 6:09:18 PM",Kudos,Activity,274873850
"Mar 30, 2015, 2:53:39 PM",Kudos,Activity,275576838
"Mar 31, 2015, 12:15:34 PM",Kudos,Activity,276725493
"Mar 31, 2015, 12:15:35 PM",Kudos,Activity,276738313
"Mar 31, 2015, 12:15:36 PM",Kudos,Activity,276723930
"Mar 31, 2015, 12:17:05 PM",Kudos,Activity,276054155
"Apr 1, 2015, 4:51:59 PM",Kudos,Activity,277243113
"Apr 2, 2015, 5:23:11 PM",Kudos,Activity,277737779
"Apr 2, 2015, 5:23:12 PM",Kudos,Activity,277709921
"Apr 5, 2015, 5:02:08 AM",Kudos,Activity,279364566
"Apr 5, 2015, 5:04:58 AM",Kudos,Activity,278813645
